time,state_f,state_estimated,drag_effect,state_model_guess,state_model_optimized
81.724152,-1.594421,-54.083626,-52.489205000000005,-7.315010413054939,-38.56141711061285
81.726105,-1.386353,-54.074135,-52.687782,-7.33236850626464,-38.6380209219293
81.728058,-1.236237,-54.062527,-52.82629,-7.349633047040314,-38.71312039393758
81.730011,-1.038574,-54.048729,-53.010155000000005,-7.366072061955116,-38.78816641312609
81.731964,-0.670959,-54.033096,-53.362137,-7.385480620234746,-38.87647759029291
81.733917,-0.53418,-54.016392,-53.482212000000004,-7.408694176847111,-38.97642808600179
81.73587,-0.708374,-53.99884,-53.290466,-7.430712834346143,-39.076379147178336
81.737823,-0.587433,-53.98048,-53.393047,-7.451312521255385,-39.17685521471252
81.739777,-0.227814,-53.961914,-53.7341,-7.472970534150755,-39.272835274343855
81.74173,-0.237335,-53.943676,-53.706341,-7.4950706111267875,-39.36553679258542
81.743683,-0.267548,-53.925426,-53.657878000000004,-7.514672930698269,-39.46115477128016
81.745636,0.180359,-53.906956,-54.087315000000004,-7.5346074956386975,-39.554182682749115
81.747589,0.583466,-53.889271,-54.472737,-7.5553645173658515,-39.64314409772318
81.749542,0.658661,-53.872871,-54.531532000000006,-7.575309540523646,-39.731153867037186
81.751495,0.779114,-53.857487,-54.636601,-7.594159942424916,-39.81913758846423
81.753448,1.032074,-53.843227,-54.875301,-7.613063125538402,-39.90519431000759
81.755402,1.258972,-53.830189,-55.089161,-7.632111677525046,-39.988923101627066
81.757355,1.404846,-53.818756,-55.223602,-7.650883538235568,-40.07094377812848
81.759308,1.438385,-53.809891,-55.248276,-7.669521596244388,-40.15110554629567
81.761261,1.470093,-53.804314,-55.274407,-7.68717317708952,-40.23144595132471
81.763214,1.67337,-53.802067,-55.475437,-7.704581117618148,-40.31039385329902
81.765167,1.872437,-53.803013,-55.67545,-7.726627125538449,-40.40585445096752
81.76712,1.967102,-53.807056,-55.774158,-7.751229735389521,-40.521781933975966
81.769073,2.156616,-53.814514,-55.97113,-7.775465832516603,-40.63552278361214
81.771027,2.335602,-53.826035,-56.161637,-7.8001730414883275,-40.74585296736768
81.77301,2.469849,-53.841953,-56.311802,-7.823430093403982,-40.856576625734036
81.77494,2.800171,-53.862228,-56.662399,-7.846221612908149,-40.96542822256146
81.777863,2.994843,-53.886772,-56.881615000000004,-7.87100235525799,-41.06747007106729
81.779823,2.827911,-53.915905,-56.743816,-7.89439143063282,-41.169826402398876
81.781776,2.89267,-53.949623,-56.842293000000005,-7.915391913826208,-41.27446780175563
81.784706,3.03241,-53.987713,-57.020123,-7.940491725399371,-41.36804344738635
81.787628,2.889191,-54.030338,-56.919529,-7.961712054560912,-41.467304332920385
81.789581,3.031403,-54.077187,-57.10859,-7.982110943500984,-41.5659889390988
81.791534,3.24231,-54.127903,-57.37021300000001,-8.004277134759704,-41.65813548417911
81.793488,3.204376,-54.182392,-57.386768000000004,-8.023653952352864,-41.75317654900635
81.796417,3.32785,-54.240437,-57.568287,-8.043095819121369,-41.84609291312275
81.79837,3.508789,-54.302246,-57.811035,-8.063078137583485,-41.93593635553727
81.800331,3.573578,-54.368145,-57.941722999999996,-8.082501359276737,-42.02471400376785
81.802277,3.543213,-54.437988,-57.981201,-8.102545472428742,-42.110165002907245
81.80423,3.415649,-54.511883,-57.927532,-8.121474982413133,-42.195851392861776
81.806183,3.423706,-54.58992,-58.013626,-8.157319879980674,-42.37456984778087
81.808136,3.499817,-54.672092,-58.171909,-8.211547519148008,-42.641938746299225
81.810089,3.339279,-54.758919,-58.098198,-8.265519539700554,-42.90402248213045
81.812042,3.159271,-54.85041,-58.00968099999999,-8.317579244191261,-43.16435461828633
81.813995,3.163864,-54.945965,-58.109829,-8.369092663151815,-43.420345359657766
81.815948,3.135605,-55.045303,-58.180907999999995,-8.420477410942937,-43.671500254001074
81.817902,3.146866,-55.148014,-58.294880000000006,-8.469923630598913,-43.92127812062918
81.819855,3.293381,-55.253437,-58.546818,-8.519265213861651,-44.165556509126105
81.821808,3.205612,-55.361023,-58.566635000000005,-8.56915564201417,-44.40332109861141
81.823761,2.974457,-55.46954,-58.443997,-8.616739201910297,-44.64099209943987
81.825714,3.06282,-55.577118,-58.639938,-8.663136461199008,-44.87585131330669
81.827667,3.101532,-55.68256,-58.784092,-8.711175550987832,-45.10197854306595
81.82962,2.702194,-55.785065,-58.487259,-8.758494203882197,-45.324075792801395
81.831573,2.452591,-55.883541,-58.336132,-8.794954701065809,-45.51124030184046
81.833527,2.603027,-55.977612,-58.580639,-8.825555087263679,-45.654128726868386
81.83548,2.597061,-56.06694,-58.664001,-8.857088151863438,-45.79185730296325
81.837433,2.375809,-56.150539,-58.526348,-8.886534294949737,-45.930194726381416
81.839386,2.319717,-56.227879,-58.547596,-8.914937513470734,-46.06771449890611
81.841339,2.467453,-56.29903,-58.766483,-8.943191499927217,-46.20281314193177
81.843292,2.674942,-56.36422,-59.039162000000005,-8.971536975076225,-46.33469767263936
81.845245,2.74353,-56.423458,-59.166987999999996,-9.000343247968413,-46.462296252543844
81.847198,2.696732,-56.477013,-59.173745,-9.026957033699855,-46.591530755132005
81.849152,2.83519,-56.525383,-59.360572999999995,-9.052903272252529,-46.71936025658971
81.851105,3.038483,-56.56897,-59.607453,-9.080334455200576,-46.84135016887749
81.853065,3.020462,-56.608482,-59.628944000000004,-9.107303540473458,-46.96141641874189
81.855019,2.984909,-56.644428,-59.629337,-9.132521385203463,-47.0820791239581
81.856964,3.04007,-56.676994,-59.717064,-9.158292021729915,-47.19868460684075
81.858917,2.966537,-56.706944,-59.673481,-9.184170624075197,-47.31235629208748
81.86087,2.976868,-56.734898,-59.711766000000004,-9.20753226537234,-47.428984434042036
81.862823,3.272339,-56.761082,-60.033421000000004,-9.2311447301529,-47.5419803728425
81.864784,3.326248,-56.786697,-60.112944999999996,-9.25667022835247,-47.648131520048
81.86673,3.08345,-56.813011,-59.896461,-9.28415900361432,-47.78014186329232
81.86869,3.210083,-56.840519,-60.050602,-9.314228448269843,-47.936589112177565
81.870651,3.477188,-56.870136,-60.347324,-9.347520359454963,-48.08325427947818
81.872589,3.267853,-56.903019,-60.170872,-9.380557848728417,-48.22667608630759
81.874542,3.093567,-56.939629,-60.033196,-9.408950352694484,-48.37655363621586
81.876503,3.345139,-56.9799,-60.325039000000004,-9.439295907606436,-48.51970076715042
